常看的多数台需开启ipv6,#genre#
重庆文体娱乐,http://125.80.251.184:7788/rtp/235.254.198.187:7980$重庆电信161
重庆文体娱乐,http://125.80.251.184:7788/rtp/235.254.196.212:1120$重庆电信161标清
重庆文体娱乐,http://183.66.15.146:60901/tsfile/live/1000_1.m3u8$重庆电信54标清

中国天气-BST,http://iptv.hn.cn:1258/bst/zgqxhd4mc@4000000.m3u8$江西联通代理458中国天气-BST
中国天气,http://116.179.138.88:8888/rtp/226.0.2.103:8736$山西联通184
中国天气,http://223.8.210.31:8083/udp/239.1.1.107:8107$山西电信119
中国天气,http://223.8.210.31:8083/udp/239.1.1.107:8107$山西电信119


下边需开启ipv6,
下边需开启ipv6,http://116.179.138.88:8888/rtp/226.0.2.225:9712$山西联通184风云足球
下边需开启ipv6,http://223.8.210.31:8083/udp/239.1.1.101:8101$山西电信117风云足球
下边需开启ipv6,http://223.8.210.31:8083/udp/239.1.1.101:8101$山西电信117风云足球
下边需开启ipv6,http://iptv.hn.cn:1258/gptv/G_FENGYUNZQ.m3u8$江西联通代理458风云足球-GPTV

下边需开启ipv6,http://171.213.154.186:9090/udp/239.93.0.162:2192$四川电信333凤凰中文
下边需开启ipv6,http://113.65.212.161:4000/udp/239.77.0.1:5146$广东电信332广东珠江

下边需开启ipv6,https://vd3.bdstatic.com/mda-pkue6fkvr9cxzrt8/sc/cae_h264/1701398346153890959/mda-pkue6fkvr9cxzrt8.mp4?pd=19&vt=1



cctv1,http://211.158.48.108:8008/udp/225.0.4.74:7980
cctv2,http://211.158.48.108:8008/udp/225.0.4.132:7980
cctv3,http://211.158.48.108:8008/udp/225.0.4.142:7980
cctv4,http://211.158.48.108:8008/udp/225.0.4.176:7980
cctv5,http://211.158.48.108:8008/udp/225.0.4.143:7980
cctv5+,http://211.158.48.108:8008/udp/225.0.4.73:7980
cctv6,http://211.158.48.108:8008/udp/225.0.4.144:7980
cctv7,http://211.158.48.108:8008/udp/225.0.4.127:7980
cctv8,http://211.158.48.108:8008/udp/225.0.4.137:7980
cctv9,http://211.158.48.108:8008/udp/225.0.4.131:7980
cctv10,http://211.158.48.108:8008/udp/225.0.4.130:7980
cctv11,http://211.158.48.108:8008/udp/225.0.4.218:7980
cctv12,http://211.158.48.108:8008/udp/225.0.4.129:7980
cctv13,http://211.158.48.108:8008/udp/225.0.4.219:7980
cctv14,http://211.158.48.108:8008/udp/225.0.4.128:7980
cctv15,http://211.158.48.108:8008/udp/225.0.4.220:7980
cctv17,http://211.158.48.108:8008/udp/225.0.4.179:7980
CGTN,http://211.158.48.108:8008/udp/225.0.4.12:7980













CCTV4K-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-4K-HD.m3u8
北京卫视4K-GPTV,http://iptv.hn.cn:1258/gptv/G_BEIJING-4K.m3u8
CCTV1综合频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-1-HQ.m3u8
CCTV2财经频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-2-HQ.m3u8
CCTV3综艺频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-3-HQ.m3u8
CCTV4中文国际-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-4-HQ.m3u8
CCTV5体育频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-5-HQ.m3u8
CCTV5+体育赛事-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-5PLUS-HQ.m3u8
CCTV6电影频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-6-HQ.m3u8
CCTV7国防军事-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-7-HQ.m3u8
CCTV8电视剧频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-8-HQ.m3u8
CCTV9纪录片频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-9-HQ.m3u8
CCTV10科教频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-10-HQ.m3u8
CCTV11戏曲频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-11-HQ.m3u8
CCTV12社会与法-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-12-HQ.m3u8
CCTV13新闻频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-13-HQ.m3u8
CCTV14少儿频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-14-HQ.m3u8
CCTV15音乐频道-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-15-HQ.m3u8
CCTV16奥林匹克-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-16-HQ.m3u8
CCTV17农业农村-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-17-HQ.m3u8
CGTN新闻-GPTV,http://iptv.hn.cn:1258/gptv/G_CCTV-NEWS.m3u8
广东卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_GUANGDONG-HQ.m3u8
江苏卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_JIANGSU-HQ.m3u8
浙江卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_ZHEJIANG-HQ.m3u8
湖南卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_HUNAN-HQ.m3u8
东方卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_DONGFANG-HQ.m3u8
北京卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_BEIJING-HQ.m3u8
深圳卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_SHENZHEN-HQ.m3u8
辽宁卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_LIAONING-HQ.m3u8
安徽卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_ANHUI-HQ.m3u8
山东卫视超清-GPTV,http://iptv.hn.cn:1258/gptv/G_SHANDONG-HQ.m3u8
黑龙江卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_HEILONGJIANG-HQ.m3u8
天津卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_TIANJIN-HQ.m3u8
广西卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_GUANGXI-HQ.m3u8
东南卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_DONGNAN-HQ.m3u8
甘肃卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_GANSU-HQ.m3u8
贵州卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_GUIZHOU-HQ.m3u8
海南卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_HAINAN-HQ.m3u8
河北卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_HEBEI-HQ.m3u8
河南卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_HENAN-HQ.m3u8
湖北卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_HUBEI-HQ.m3u8
吉林卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_JILIN-HQ.m3u8
江西卫视高清-GPTV,http://iptv.hn.cn:1258/gptv/G_JIANGXI-HQ.m3u8
康巴卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_KANGBA.m3u8
安多卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_ANDUO.m3u8
兵团卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_BINGTUAN.m3u8
内蒙古卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_NEIMENGGU.m3u8
宁夏卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_NINGXIA.m3u8
农林卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_NONGLIN.m3u8
三沙卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_SANSHA-HQ.m3u8
陕西卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_SHANXI-HQ.m3u8
四川卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_SICHUAN-HQ.m3u8
西藏卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_XIZANG.m3u8
新疆卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_XINJIANG.m3u8
延边卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_YANBIAN.m3u8
云南卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_YUNNAN-HQ.m3u8
重庆卫视-GPTV,http://iptv.hn.cn:1258/gptv/G_CHONGQING-HQ.m3u8
北京冬奥纪实高清-GPTV,http://iptv.hn.cn:1258/gptv/G_BEIJINGJS-HD.m3u8
家庭理财-GPTV,http://iptv.hn.cn:1258/gptv/G_JIATINGLC.m3u8
金鹰卡通-GPTV,http://iptv.hn.cn:1258/gptv/G_JINYING.m3u8
卡酷少儿-GPTV,http://iptv.hn.cn:1258/gptv/G_KAKU.m3u8
女性时尚-GPTV,http://iptv.hn.cn:1258/gptv/G_NVXINGSS.m3u8
风云足球-GPTV,http://iptv.hn.cn:1258/gptv/G_FENGYUNZQ.m3u8
天元围棋-GPTV,http://iptv.hn.cn:1258/gptv/G_TIANYUANWQ.m3u8
炫动卡通-GPTV,http://iptv.hn.cn:1258/gptv/G_XUANDONG.m3u8
优漫卡通-GPTV,http://iptv.hn.cn:1258/gptv/G_YOUMAN.m3u8
CETV-1高清-GPTV,http://iptv.hn.cn:1258/gptv/G_CETV-1-HQ.m3u8
CETV-2-GPTV,http://iptv.hn.cn:1258/gptv/G_CETV-2.m3u8
CETV-3-GPTV,http://iptv.hn.cn:1258/gptv/G_CETV-3.m3u8
CETV-4-GPTV,http://iptv.hn.cn:1258/gptv/G_CETV-4.m3u8





视界4K-BST,http://iptv.hn.cn:1258/bst/sjpd4k@15000000.m3u8
电影4K-BST,http://iptv.hn.cn:1258/bst/dypd4k@15000000.m3u8
少儿4K-BST,http://iptv.hn.cn:1258/bst/sepd4k@15000000.m3u8
欢笑剧场4K-BST,http://iptv.hn.cn:1258/bst/hxjc4k@15000000.m3u8
cctv4k-BST,http://iptv.hn.cn:1258/bst/cctv4k@15000000.m3u8
cctv16-4K-BST,http://iptv.hn.cn:1258/bst/cctv16hd4k@15000000.m3u8
CCTV-1HD-BST,http://iptv.hn.cn:1258/bst/cctv1hd@4000000.m3u8
CCTV-2HD-BST,http://iptv.hn.cn:1258/bst/cctv2hd8m@8000000.m3u8
CCTV-3HD-BST,http://iptv.hn.cn:1258/bst/cctv3hd@4000000.m3u8
CCTV-4HD-BST,http://iptv.hn.cn:1258/bst/cctv4hd4m@4000000.m3u8
CCTV-5HD-BST,http://iptv.hn.cn:1258/bst/cctv5hd@4000000.m3u8
CCTV-6HD-BST,http://iptv.hn.cn:1258/bst/cctv6hd@4000000.m3u8
CCTV-7HD-BST,http://iptv.hn.cn:1258/bst/cctv7hd4m@4000000.m3u8
CCTV-8HD-BST,http://iptv.hn.cn:1258/bst/cctv8hd@4000000.m3u8
CCTV-9HD-BST,http://iptv.hn.cn:1258/bst/cctv9hd4mc@4000000.m3u8
CCTV-10HD-BST,http://iptv.hn.cn:1258/bst/cctv10hd@4000000.m3u8
CCTV-11HD-BST,http://iptv.hn.cn:1258/bst/cctv11hd4m@4000000.m3u8
CCTV-12HD-BST,http://iptv.hn.cn:1258/bst/cctv12hd4m@4000000.m3u8
CCTV-新闻HD-BST,http://iptv.hn.cn:1258/bst/cctv13hd4m@4000000.m3u8
CCTV-少儿HD-BST,http://iptv.hn.cn:1258/bst/cctvsehd@4000000.m3u8
CCTV-音乐HD-BST,http://iptv.hn.cn:1258/bst/cctvyyhd4m@4000000.m3u8
CCTV-16HD-BST,http://iptv.hn.cn:1258/bst/cctv16hd4m@4000000.m3u8
CCTV-17HD-BST,http://iptv.hn.cn:1258/bst/cctv17hd4m@4000000.m3u8
CCTV-5+HD-BST,http://iptv.hn.cn:1258/bst/cctv5phd@4000000.m3u8
CCTV-3-BST,http://iptv.hn.cn:1258/bst/cctv3hdhai@4000000.m3u8
CCTV-5-BST,http://iptv.hn.cn:1258/bst/cctv5hdhai@4000000.m3u8
CCTV-6-BST,http://iptv.hn.cn:1258/bst/cctv6@1300000.m3u8
CCTV-8-BST,http://iptv.hn.cn:1258/bst/cctv8@1300000.m3u8
CGTN-BST,http://iptv.hn.cn:1258/bst/cctvnews@2500000.m3u8
东方卫视HD-BST,http://iptv.hn.cn:1258/bst/hddfws@4000000.m3u8
河北卫视HD-BST,http://iptv.hn.cn:1258/bst/hbwshd4m@4000000.m3u8
浙江卫视HD-BST,http://iptv.hn.cn:1258/bst/zjwshd@4000000.m3u8
北京卫视HD-BST,http://iptv.hn.cn:1258/bst/bjwshd@4000000.m3u8
江苏卫视HD-BST,http://iptv.hn.cn:1258/bst/jswshd@4000000.m3u8
天津卫视HD-BST,http://iptv.hn.cn:1258/bst/tjwshd@4000000.m3u8
湖南卫视HD-BST,http://iptv.hn.cn:1258/bst/hnwshd@4000000.m3u8
中国教育-1HD-BST,http://iptv.hn.cn:1258/bst/zgjy1ott@4000000.m3u8
中国教育-2-BST,http://iptv.hn.cn:1258/bst/cetv2@2500000.m3u8
中国教育-4HD-BST,http://iptv.hn.cn:1258/bst/cetv4@1300000.m3u8
山东卫视HD-BST,http://iptv.hn.cn:1258/bst/sdwshd@4000000.m3u8
东南卫视HD-BST,http://iptv.hn.cn:1258/bst/dnwshd@4000000.m3u8
安徽卫视HD-BST,http://iptv.hn.cn:1258/bst/ahwshd@4000000.m3u8
湖北卫视HD-BST,http://iptv.hn.cn:1258/bst/hbwshd@4000000.m3u8
甘肃卫视HD-BST,http://iptv.hn.cn:1258/bst/gswshd4m@4000000.m3u8
广东卫视HD-BST,http://iptv.hn.cn:1258/bst/gdwshd@4000000.m3u8
广西卫视HD-BST,http://iptv.hn.cn:1258/bst/gxwshd4m@4000000.m3u8
贵州卫视HD-BST,http://iptv.hn.cn:1258/bst/gzwshd4m@4000000.m3u8
重庆卫视HD-BST,http://iptv.hn.cn:1258/bst/cqwshd4m@4000000.m3u8
河南卫视HD-BST,http://iptv.hn.cn:1258/bst/henwshd4m@4000000.m3u8
黑龙江卫视HD-BST,http://iptv.hn.cn:1258/bst/hljwshd@4000000.m3u8
海南卫视HD-BST,http://iptv.hn.cn:1258/bst/hainwshd4m@4000000.m3u8
吉林卫视HD-BST,http://iptv.hn.cn:1258/bst/jlwshd4m@4000000.m3u8
江西卫视HD-BST,http://iptv.hn.cn:1258/bst/jxwshd@4000000.m3u8
哈哈炫动HD-BST,http://iptv.hn.cn:1258/bst/hhxdhd@4000000.m3u8
金鹰纪实HD-BST,http://iptv.hn.cn:1258/bst/jyjs8m@8000000.m3u8
金鹰卡通-BST,http://iptv.hn.cn:1258/bst/jykt@1300000.m3u8
嘉佳卡通-BST,http://iptv.hn.cn:1258/bst/jjkt@1300000.m3u8
卡酷卡通-BST,http://iptv.hn.cn:1258/bst/kkkt@1300000.m3u8
卡酷少儿HD-BST,http://iptv.hn.cn:1258/bst/kkkt2d5m@2500000.m3u8
辽宁卫视HD-BST,http://iptv.hn.cn:1258/bst/lnwshd@4000000.m3u8
深圳卫视HD-BST,http://iptv.hn.cn:1258/bst/szwshd@4000000.m3u8
云南卫视HD-BST,http://iptv.hn.cn:1258/bst/ynwshd4m@4000000.m3u8
四川卫视HD-BST,http://iptv.hn.cn:1258/bst/scwshd4m@4000000.m3u8
山西卫视-BST,http://iptv.hn.cn:1258/bst/shanxiws@1300000.m3u8
陕西卫视-BST,http://iptv.hn.cn:1258/bst/sxws@1300000.m3u8
新疆卫视-BST,http://iptv.hn.cn:1258/bst/xjws@1300000.m3u8
安多卫视-BST,http://iptv.hn.cn:1258/bst/adws2d5m@2500000.m3u8
西藏卫视-BST,http://iptv.hn.cn:1258/bst/xzws@2500000.m3u8
兵团卫视-BST,http://iptv.hn.cn:1258/bst/btws@1300000.m3u8
内蒙古卫视-BST,http://iptv.hn.cn:1258/bst/nmgws@1300000.m3u8
宁夏卫视-BST,http://iptv.hn.cn:1258/bst/nxws@1300000.m3u8
青海卫视-BST,http://iptv.hn.cn:1258/bst/qhws@1300000.m3u8
新视觉HD-BST,http://iptv.hn.cn:1258/bst/xsjhd@4000000.m3u8
中国天气-BST,http://iptv.hn.cn:1258/bst/zgqxhd4mc@4000000.m3u8
欢笑剧场HD-BST,http://iptv.hn.cn:1258/bst/hxjchd@4000000.m3u8
热门剧场HD-BST,http://iptv.hn.cn:1258/bst/rmjcvcc4m@4000000.m3u8
都市剧场HD-BST,http://iptv.hn.cn:1258/bst/dsjchd@4000000.m3u8
谍战剧场HD-BST,http://iptv.hn.cn:1258/bst/dzjcvcc4m@4000000.m3u8
华语影院HD-BST,http://iptv.hn.cn:1258/bst/hyyyvcc4m@4000000.m3u8
星光影院HD-BST,http://iptv.hn.cn:1258/bst/xgyyvcc4m@4000000.m3u8
全球大片HD-BST,http://iptv.hn.cn:1258/bst/qqdpvcc4m@4000000.m3u8
热门综艺HD-BST,http://iptv.hn.cn:1258/bst/rmzyvcc4m@4000000.m3u8
动漫秀场HD-BST,http://iptv.hn.cn:1258/bst/dmxchd@4000000.m3u8
宝宝动画HD-BST,http://iptv.hn.cn:1258/bst/bbdhvcc4m@4000000.m3u8
青春动漫HD-BST,http://iptv.hn.cn:1258/bst/qcdmvcc4m@4000000.m3u8
百变课堂HD-BST,http://iptv.hn.cn:1258/bst/bbktvcc4m@4000000.m3u8
生活时尚HD-BST,http://iptv.hn.cn:1258/bst/shsshd@4000000.m3u8
游戏风云HD-BST,http://iptv.hn.cn:1258/bst/yxfyhd@4000000.m3u8
电竞天堂HD-BST,http://iptv.hn.cn:1258/bst/djttvcc4m@4000000.m3u8
金色学堂HD-BST,http://iptv.hn.cn:1258/bst/jsxthd4m@4000000.m3u8
健康养生HD-BST,http://iptv.hn.cn:1258/bst/jkysvcc4m@4000000.m3u8
戏曲精选HD-BST,http://iptv.hn.cn:1258/bst/xqjxvcc4m@4000000.m3u8
茶频道HD-BST,http://iptv.hn.cn:1258/bst/cpdhdavs8m@8000000.m3u8
快乐垂钓HD-BST,http://iptv.hn.cn:1258/bst/klcdhd4m@4000000.m3u8
东方财经HD-BST,http://iptv.hn.cn:1258/bst/dfcjhd4m@4000000.m3u8
家庭理财-BST,http://iptv.hn.cn:1258/bst/jtlcsd2d5mc@2500000.m3u8
财富天下-BST,http://iptv.hn.cn:1258/bst/cftx@2500000.m3u8
法治天地HD-BST,http://iptv.hn.cn:1258/bst/fztd2d5m@2500000.m3u8
看天下精选HD-BST,http://iptv.hn.cn:1258/bst/ktxjx8m@8000000.m3u8
东方购物上星-BST,http://iptv.hn.cn:1258/bst/dfgwsxhd8m@8000000.m3u8
好享购物-BST,http://iptv.hn.cn:1258/bst/hxgwsd2d5m@2500000.m3u8
央广购物-BST,http://iptv.hn.cn:1258/bst/yggwsd2d5m@2500000.m3u8
三沙卫视HD-BST,http://iptv.hn.cn:1258/bst/ssws2d5m@2500000.m3u8
乐游-BST,http://iptv.hn.cn:1258/bst/qjshd@4000000.m3u8

















CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0




















cctv1,http://223.8.210.31:8083/udp/239.1.1.7:8007$山西电信117
cctv1,http://223.8.210.31:8083/udp/239.1.1.7:8007$山西电信117
cctv1,http://171.213.154.186:9090/udp/239.93.0.184:5140$四川电信333
cctv1,http://211.158.48.108:8008/udp/225.0.4.74:7980$重庆联通77
cctv1,http://113.65.212.161:4000/udp/239.77.0.86:5146$广东电信332

cctv2,http://223.8.210.31:8083/udp/239.1.1.8:8008
cctv2,http://223.8.210.31:8083/udp/239.1.1.8:8008
cctv2,http://171.213.154.186:9090/udp/239.93.1.23:6000
cctv2,http://211.158.48.108:8008/udp/225.0.4.132:7980
cctv2,http://113.65.212.161:4000/udp/239.77.1.158:5146
cctv3,http://223.8.210.31:8083/udp/239.1.1.9:8009
cctv3,http://223.8.210.31:8083/udp/239.1.1.9:8009
cctv3,http://171.213.154.186:9090/udp/239.93.1.11:2223
cctv3,http://211.158.48.108:8008/udp/225.0.4.142:7980
cctv3,http://113.65.212.161:4000/udp/239.77.0.169:5146
cctv4,http://223.8.210.31:8083/udp/239.1.1.10:8010
cctv4,http://223.8.210.31:8083/udp/239.1.1.10:8010
cctv4,http://171.213.154.186:9090/udp/239.93.1.105:5140
cctv4,http://211.158.48.108:8008/udp/225.0.4.176:7980
cctv4,http://113.65.212.161:4000/udp/239.77.1.163:5146
cctv5,http://223.8.210.31:8083/udp/239.1.1.11:8011
cctv5,http://223.8.210.31:8083/udp/239.1.1.11:8011
cctv5,http://171.213.154.186:9090/udp/239.93.42.37:5140
cctv5,http://211.158.48.108:8008/udp/225.0.4.143:7980
cctv5,http://113.65.212.161:4000/udp/239.77.0.170:5146
cctv5+,http://223.8.210.31:8083/udp/239.1.1.12:8012
cctv5+,http://223.8.210.31:8083/udp/239.1.1.12:8012
cctv5+,http://171.213.154.186:9090/udp/239.93.1.36:8004
cctv5+,http://211.158.48.108:8008/udp/225.0.4.73:7980
cctv5+,http://113.65.212.161:4000/udp/239.77.0.87:5146
cctv6,http://223.8.210.31:8083/udp/239.1.1.13:8013
cctv6,http://223.8.210.31:8083/udp/239.1.1.13:8013
cctv6,http://171.213.154.186:9090/udp/239.93.1.13:2226
cctv6,http://211.158.48.108:8008/udp/225.0.4.144:7980
cctv6,http://113.65.212.161:4000/udp/239.77.0.171:5146
cctv7,http://223.8.210.31:8083/udp/239.1.1.14:8014
cctv7,http://223.8.210.31:8083/udp/239.1.1.14:8014
cctv7,http://171.213.154.186:9090/udp/239.93.1.67:5140
cctv7,http://211.158.48.108:8008/udp/225.0.4.127:7980
cctv7,http://113.65.212.161:4000/udp/239.77.0.138:5146
cctv8,http://223.8.210.31:8083/udp/239.1.1.15:8015
cctv8,http://223.8.210.31:8083/udp/239.1.1.15:8015
cctv8,http://171.213.154.186:9090/udp/239.93.42.39:5140
cctv8,http://211.158.48.108:8008/udp/225.0.4.137:7980
cctv8,http://113.65.212.161:4000/udp/239.77.0.172:5146
cctv9,http://223.8.210.31:8083/udp/239.1.1.16:8016
cctv9,http://223.8.210.31:8083/udp/239.1.1.16:8016
cctv9,http://171.213.154.186:9090/udp/239.93.1.24:5140
cctv9,http://211.158.48.108:8008/udp/225.0.4.131:7980
cctv9,http://113.65.212.161:4000/udp/239.77.1.160:5146
cctv10,http://223.8.210.31:8083/udp/239.1.1.17:8017
cctv10,http://223.8.210.31:8083/udp/239.1.1.17:8017
cctv10,http://171.213.154.186:9090/udp/239.93.1.28:5140
cctv10,http://211.158.48.108:8008/udp/225.0.4.130:7980
cctv10,http://113.65.212.161:4000/udp/239.77.1.113:5146
cctv11,http://223.8.210.31:8083/udp/239.1.1.18:8018
cctv11,http://223.8.210.31:8083/udp/239.1.1.18:8018
cctv11,http://171.213.154.186:9090/udp/239.93.0.102:5140
cctv11,http://211.158.48.108:8008/udp/225.0.4.218:7980
cctv11,http://113.65.212.161:4000/udp/239.77.1.238:5146
cctv12,http://223.8.210.31:8083/udp/239.1.1.19:8019
cctv12,http://223.8.210.31:8083/udp/239.1.1.19:8019
cctv12,http://171.213.154.186:9090/udp/239.93.1.30:8124
cctv12,http://211.158.48.108:8008/udp/225.0.4.129:7980
cctv12,http://113.65.212.161:4000/udp/239.77.1.109:5146
cctv13,http://223.8.210.31:8083/udp/239.1.1.20:8020
cctv13,http://223.8.210.31:8083/udp/239.1.1.20:8020
cctv13,http://171.213.154.186:9090/udp/239.93.0.66:5140
cctv13,http://211.158.48.108:8008/udp/225.0.4.219:7980
cctv13,http://113.65.212.161:4000/udp/239.77.0.188:5146

cctv14,http://223.8.210.31:8083/udp/239.1.1.21:8021
cctv14,http://223.8.210.31:8083/udp/239.1.1.21:8021
cctv14,http://171.213.154.186:9090/udp/239.93.1.29:6000
cctv14,http://211.158.48.108:8008/udp/225.0.4.128:7980
cctv14,http://113.65.212.161:4000/udp/239.77.1.161:5146

cctv15,http://223.8.210.31:8083/udp/239.1.1.22:8022
cctv15,http://223.8.210.31:8083/udp/239.1.1.22:8022
cctv15,http://171.213.154.186:9090/udp/239.93.0.103:5140
cctv15,http://211.158.48.108:8008/udp/225.0.4.220:7980
cctv15,http://113.65.212.161:4000/udp/239.77.1.239:5146
cctv16,http://223.8.210.31:8083/udp/239.1.1.122:8122
cctv16,http://223.8.210.31:8083/udp/239.1.1.122:8122
cctv16,http://113.65.212.161:4000/udp/239.77.1.98:5146
cctv16,http://113.65.212.161:4000/udp/239.77.1.76:5146
cctv16,http://113.65.212.161:4000/udp/239.77.0.165:5146
cctv17,http://223.8.210.31:8083/udp/239.1.1.23:8023
cctv17,http://223.8.210.31:8083/udp/239.1.1.23:8023
cctv17,http://171.213.154.186:9090/udp/239.93.0.92:5140
cctv17,http://211.158.48.108:8008/udp/225.0.4.179:7980
cctv17,http://113.65.212.161:4000/udp/239.77.1.121:5146


cctv1,http://116.179.138.88:8888/rtp/226.0.2.153:9136$山西联通184
cctv2,http://116.179.138.88:8888/rtp/226.0.2.154:9144
cctv3,http://116.179.138.88:8888/rtp/226.0.2.208:9576
cctv4,http://116.179.138.88:8888/rtp/226.0.2.156:9160
cctv5,http://116.179.138.88:8888/rtp/226.0.2.209:9584
cctv6,http://116.179.138.88:8888/rtp/226.0.2.210:9592
